horizon,timestep,n_hidden,mae,mse,mape
6,10,256,180.663166487,38344.4007047,728.029109939
12,10,256,65.9745434321,9903.87378873,136.436513522
24,10,256,221.705670302,223693.325459,519.256500675
3,15,16,26.8677253523,1777.30628186,55.0270204229
6,15,16,39.0491679615,3428.64125065,100.861667384
12,15,16,53.2370966211,5712.88891605,155.045853689
24,15,16,61.341737445,7191.93029371,194.772777182
3,15,32,27.1001284582,1836.8812387,51.3208735277
6,15,32,40.0695107152,3479.76580344,118.015139716
12,15,32,52.573281565,5547.75694346,154.037917228
24,15,32,61.8344979925,7100.74984476,207.453785362
3,15,64,30.3305189533,2143.44338864,69.3022094541
6,15,64,41.6209248419,3731.27640754,104.511570242
12,15,64,53.2865996347,5699.4127652,158.005250837
24,15,64,62.071619626,7251.53044549,204.269961673
3,15,128,66.2519829848,8504.11542458,196.055849741
6,15,128,47.7490195848,4253.22313313,163.652934647
12,15,128,52.3795931769,5614.77377644,148.874505741
24,15,128,63.3952388007,7876.05061214,192.259507544
3,15,256,183.42624933,64746.0296227,421.8613599
6,15,256,247.076058189,71608.6430696,548.00599393
12,15,256,70.3341501888,12795.5441155,214.432468848
24,15,256,281.670507608,101842.470278,670.584763851
3,25,16,25.8784408643,1774.65891474,50.85032671
6,25,16,39.6710905838,3432.1077846,104.510154128
12,25,16,52.4799179434,5409.94647844,172.16074673
24,25,16,60.5340014734,7110.60781689,190.026684859
3,25,32,30.9143888626,2122.83620191,77.7948968731
6,25,32,39.0531941199,3465.85657791,91.2356732014
12,25,32,53.4231480491,5717.2286504,156.722708372
24,25,32,61.8661603503,7199.08214881,201.534623837
3,25,64,30.5508642491,2114.77177946,75.804500587
6,25,64,41.6687709713,3720.87537491,108.821183877
12,25,64,53.0827897691,5799.14353019,146.631270937
24,25,64,62.4736455233,7292.45776177,205.689170954
3,25,128,62.7413375288,7287.41893985,194.868914931
6,25,128,44.8753220672,4271.79807114,113.908745007
12,25,128,72.882025958,9807.54093503,235.36707027
24,25,128,61.8005340215,7770.42284396,173.568357503
3,25,256,188.203327571,52996.5031842,310.858239776
6,25,256,98.8073539179,18750.1207978,392.745587129
12,25,256,216.128665122,59505.8576625,781.450437864
24,25,256,88.5401865745,14049.0210561,194.082004499
3,3,16,28.0299596434,2020.13494159,58.9421970546
6,3,16,40.1460110668,3674.69599929,91.8760144106
12,3,16,51.8078130516,5575.07023803,143.353088297
24,3,16,61.2331997522,7084.14212205,199.678536926
3,3,32,27.5231650538,1874.85364511,48.5886358269
6,3,32,42.1303684983,3702.38003555,117.847416935
12,3,32,54.6515329149,5667.82478383,175.935631599
24,3,32,61.7737695623,6999.65050049,210.046273196
3,3,64,28.5894835387,1803.01709645,81.3422951045
6,3,64,41.1846463094,3586.19361677,112.642997375
12,3,64,53.2606813719,5682.72898019,156.651288034
24,3,64,60.8830620172,7385.72117164,175.642733151
3,3,128,29.0191563776,2043.27627412,64.1877840025
6,3,128,41.0854038732,3672.58152326,109.945257455
12,3,128,53.6312626181,5561.05153466,170.364405277
